time_s,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_11,sig_12,sig_13,sig_17,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_51,sig_52,sig_53,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_68,sig_70,sig_71,sig_72,sig_73,sig_74,sig_75,sig_76,sig_119,sig_120,sig_121,sig_125,sig_126,sig_127,sig_131,sig_134
542.295,-106.0,966.0,465.0,-489.0,862.0,-58.0,158.0,738.0,-19.0,336,-810,209.0,964.0,69.0,-992.0,-364.0,1038.0,-270.0,759.0,-268.0,-587,-366,146,336,586,-658,200,-538,-318,754,-680,332,48,175,731,385,-560,155,674,250,-678,-31,-23,24,-258,374,-827,55,40
542.328,-55.0,1001.0,306.0,-485.0,870.0,-55.0,167.0,792.0,-101.0,317,-790,165.0,955.0,66.0,-992.0,-364.0,1038.0,-211.0,802.0,-240.0,-638,-343,128,356,593,-643,175,-548,-323,751,-741,260,-57,289,746,406,-519,194,675,265,-661,-31,-23,24,-320,354,-798,27,40
542.361,-59.0,1028.0,228.0,-461.0,858.0,-89.0,75.0,845.0,-94.0,369,-770,117.0,968.0,156.0,-992.0,-364.0,1038.0,-232.0,871.0,-280.0,-675,-367,50,373,607,-626,143,-561,-329,746,-815,167,-4,274,755,437,-464,239,671,287,-640,-31,-23,23,-319,356,-789,147,41
542.395,-120.0,1031.0,247.0,-496.0,893.0,-39.0,1.0,947.0,-141.0,429,-754,170.0,949.0,156.0,-992.0,-364.0,1038.0,-380.0,843.0,-333.0,-758,-506,30,404,617,-598,110,-575,-336,738,-948,111,-40,120,774,459,-395,280,665,307,-621,-31,-23,23,-267,372,-827,198,42
542.428,-182.0,1019.0,302.0,-487.0,791.0,-63.0,-79.0,888.0,-161.0,434,-721,160.0,987.0,107.0,-992.0,-364.0,1038.0,-407.0,768.0,-350.0,-682,-513,45,438,618,-578,86,-587,-335,732,-866,67,-44,-20,790,473,-336,316,657,320,-605,-31,-23,23,-265,365,-829,84,42
542.461,-69.0,1015.0,253.0,-449.0,809.0,-116.0,-62.0,837.0,-17.0,439,-725,117.0,927.0,129.0,-992.0,-364.0,1038.0,-218.0,911.0,-449.0,-722,-557,-48,485,611,-561,67,-600,-327,727,-868,0,36,-378,819,472,-283,343,649,322,-598,-31,-23,23,-260,368,-820,8,42
542.495,-112.0,1018.0,266.0,-446.0,798.0,-141.0,-5.0,926.0,-189.0,491,-698,179.0,952.0,99.0,-992.0,-364.0,1038.0,-255.0,935.0,-440.0,-838,-561,-88,523,585,-557,54,-615,-311,723,-1002,130,35,-626,839,451,-271,363,645,311,-596,-31,-23,23,-283,363,-822,18,42
542.528,-39.0,946.0,480.0,-396.0,800.0,-123.0,66.0,989.0,-200.0,465,-728,154.0,971.0,87.0,-992.0,-364.0,1038.0,-255.0,937.0,-417.0,-784,-608,-126,552,552,-563,51,-629,-288,720,-973,256,-83,-818,853,412,-293,370,652,278,-601,-31,-23,23,-245,378,-826,-4,42
542.561,-152.0,1034.0,168.0,-412.0,831.0,-132.0,219.0,953.0,-188.0,453,-710,46.0,952.0,141.0,-992.0,-364.0,1038.0,-124.0,996.0,-288.0,-801,-482,-126,591,509,-567,52,-645,-261,716,-958,196,-116,-928,875,352,-332,370,661,238,-608,-31,-23,23,-237,384,-827,-38,42
542.595,-246.0,1166.0,413.0,-430.0,887.0,-164.0,253.0,1001.0,-229.0,535,-748,192.0,945.0,71.0,-992.0,-364.0,1038.0,-130.0,1008.0,-317.0,-896,-393,-95,630,465,-562,48,-661,-238,710,-974,383,-170,-805,894,284,-367,374,670,199,-609,-31,-23,23,-250,356,-838,-25,42
542.628,-254.0,870.0,343.0,-427.0,839.0,-216.0,267.0,1060.0,-196.0,603,-764,264.0,914.0,-5.0,-992.0,-364.0,1038.0,-190.0,1102.0,-164.0,-957,-496,-102,668,430,-552,40,-676,-225,700,-1068,375,-156,-675,922,201,-406,384,678,160,-606,-31,-23,23,-264,371,-828,-39,42
542.661,-265.0,904.0,188.0,-399.0,859.0,-222.0,209.0,1109.0,-173.0,596,-728,381.0,888.0,-45.0,-992.0,-364.0,1038.0,-240.0,1141.0,-229.0,-1016,-253,-31,702,408,-532,31,-690,-212,691,-1127,186,-261,-351,939,121,-425,385,689,124,-601,-31,-23,22,-364,375,-791,-63,41
542.695,-141.0,1044.0,189.0,-342.0,808.0,-242.0,211.0,1115.0,-223.0,675,-714,325.0,950.0,38.0,-992.0,-364.0,1038.0,-170.0,1096.0,-381.0,-988,-491,-109,732,386,-509,31,-703,-198,682,-1136,302,-164,19,948,49,-424,388,700,94,-592,-31,-23,22,-350,356,-792,-57,40
542.728,-57.0,1048.0,329.0,-466.0,811.0,-262.0,152.0,1071.0,-270.0,656,-726,347.0,879.0,-67.0,-992.0,-364.0,1038.0,-201.0,1148.0,-290.0,-924,-474,-155,757,367,-488,30,-717,-188,671,-1127,-10,-207,76,957,-18,-424,381,710,69,-589,-31,-23,23,-271,402,-812,-92,40
542.761,1.0,994.0,361.0,-415.0,855.0,-255.0,33.0,1045.0,-291.0,678,-682,277.0,925.0,-29.0,-992.0,-364.0,1038.0,-173.0,964.0,-361.0,-900,-595,-123,782,358,-465,32,-727,-182,661,-1104,71,-181,174,965,-71,-418,371,719,48,-586,-31,-23,23,-303,379,-812,-58,40
542.795,-144.0,904.0,287.0,-560.0,881.0,-283.0,-65.0,1102.0,-262.0,828,-724,329.0,886.0,-19.0,-992.0,-364.0,1038.0,-260.0,1020.0,-374.0,-848,-623,-114,800,355,-443,44,-736,-176,652,-1096,-133,-145,25,965,-124,-405,353,727,27,-589,-31,-23,23,-303,343,-809,-2,40
542.828,-61.0,962.0,405.0,-461.0,858.0,-281.0,-4.0,1047.0,-284.0,826,-758,431.0,907.0,-26.0,-992.0,-364.0,1038.0,-235.0,1054.0,-381.0,-906,-571,-79,811,358,-424,58,-743,-175,644,-1090,125,-197,71,965,-163,-398,331,737,4,-589,-31,-23,23,-255,383,-809,-24,41
542.861,-108.0,837.0,456.0,-585.0,872.0,-328.0,299.0,1250.0,-146.0,932,-810,372.0,861.0,-100.0,-992.0,-364.0,1038.0,-105.0,1211.0,-413.0,-1011,-532,-105,827,366,-401,68,-748,-179,636,-1055,343,-412,406,970,-201,-382,316,750,-16,-581,-31,-23,23,-258,367,-819,-3,41
542.895,-18.0,996.0,471.0,-679.0,878.0,-356.0,-47.0,1314.0,-175.0,826,-802,344.0,840.0,173.0,-992.0,-364.0,1038.0,-574.0,1180.0,-467.0,-1025,-753,-149,829,387,-382,81,-751,-187,629,-1281,176,78,-76,969,-241,-365,292,755,-41,-586,-31,-23,23,-263,357,-828,22,42
542.928,-90.0,855.0,475.0,-496.0,868.0,-330.0,633.0,1388.0,123.0,751,-856,624.0,860.0,20.0,-992.0,-364.0,1038.0,-375.0,1297.0,-354.0,-1171,-623,214,828,405,-367,94,-748,-194,628,-1269,873,168,205,964,-276,-351,295,757,-49,-581,-31,-23,23,-283,369,-811,23,42
542.961,61.0,822.0,447.0,-524.0,816.0,-347.0,743.0,1271.0,442.0,650,-899,403.0,893.0,116.0,-992.0,-364.0,1038.0,-320.0,1320.0,50.0,-1194,-319,18,816,428,-368,90,-740,-208,633,-1012,947,429,-12,951,-296,-355,337,743,-37,-577,-31,-23,23,-275,364,-814,64,43
542.995,-49.0,833.0,579.0,-582.0,872.0,-298.0,287.0,949.0,421.0,536,-911,563.0,776.0,-58.0,-992.0,-364.0,1038.0,-236.0,1389.0,-27.0,-1243,-258,-32,807,439,-378,82,-731,-214,643,-923,551,343,-268,940,-315,-371,372,728,-33,-576,-31,-23,23,-264,369,-829,62,44
543.028,7.0,956.0,411.0,-536.0,845.0,-269.0,564.0,886.0,77.0,427,-902,478.0,991.0,-45.0,-992.0,-364.0,1038.0,-91.0,1143.0,-169.0,-1122,-222,-165,804,439,-392,71,-723,-214,653,-804,471,-67,-196,929,-335,-384,374,726,-42,-576,-31,-23,23,-270,369,-825,52,45
543.061,47.0,889.0,533.0,-488.0,891.0,-285.0,696.0,791.0,-89.0,437,-977,587.0,822.0,-36.0,-992.0,-364.0,1038.0,-21.0,1043.0,-282.0,-929,-320,-202,797,436,-410,59,-716,-217,661,-748,684,-237,88,922,-346,-389,386,724,-40,-571,-31,-23,23,-242,371,-827,52,45
543.095,64.0,985.0,558.0,-587.0,908.0,-215.0,550.0,797.0,-90.0,471,-961,390.0,907.0,-81.0,-992.0,-364.0,1038.0,-83.0,959.0,-337.0,-820,-384,-324,785,437,-427,52,-710,-219,667,-736,618,-190,33,921,-347,-394,397,721,-38,-567,-30,-23,23,-258,375,-820,-12,46
543.128,43.0,963.0,571.0,-588.0,897.0,-234.0,557.0,863.0,-51.0,462,-979,494.0,875.0,-122.0,-992.0,-364.0,1038.0,-106.0,1165.0,-222.0,-863,-434,-212,778,434,-449,51,-706,-218,672,-797,602,-146,-59,912,-356,-398,402,719,-41,-566,-30,-23,22,-260,365,-826,-3,46
543.161,5.0,962.0,460.0,-571.0,858.0,-241.0,695.0,773.0,-86.0,469,-939,480.0,912.0,-42.0,-992.0,-364.0,1038.0,-113.0,1122.0,-243.0,-1004,-276,-221,773,434,-457,44,-703,-219,675,-713,633,-273,4,907,-358,-401,408,718,-40,-563,-30,-23,22,-257,368,-830,21,46
543.195,-39.0,953.0,494.0,-591.0,861.0,-245.0,527.0,932.0,69.0,462,-943,453.0,872.0,-34.0,-992.0,-364.0,1038.0,-223.0,1018.0,-282.0,-897,-427,-116,771,438,-456,39,-702,-221,676,-829,682,-6,118,909,-353,-400,417,714,-34,-561,-30,-23,22,-285,375,-821,-3,46
543.228,-36.0,997.0,472.0,-583.0,842.0,-219.0,432.0,827.0,128.0,469,-937,461.0,888.0,-123.0,-992.0,-364.0,1038.0,-158.0,1145.0,-138.0,-933,-365,-154,770,438,-461,37,-701,-220,677,-772,533,31,-65,906,-352,-403,418,712,-35,-563,-31,-23,22,-276,362,-819,59,47
543.261,-5.0,980.0,546.0,-552.0,833.0,-183.0,612.0,855.0,129.0,455,-935,396.0,939.0,-131.0,-992.0,-364.0,1038.0,-228.0,1080.0,-98.0,-991,-254,-68,769,438,-459,28,-701,-220,678,-730,640,-43,-54,902,-354,-400,416,714,-37,-563,-31,-23,22,-254,362,-821,102,47
543.295,-105.0,958.0,345.0,-552.0,836.0,-186.0,669.0,919.0,137.0,466,-934,379.0,918.0,-233.0,-992.0,-364.0,1038.0,-194.0,1076.0,-145.0,-948,-318,-40,771,434,-456,20,-700,-220,679,-786,748,26,98,898,-353,-390,417,715,-38,-559,-30,-23,22,-247,370,-827,93,48
543.328,-67.0,1158.0,977.0,-551.0,818.0,-178.0,593.0,857.0,79.0,463,-928,340.0,870.0,-166.0,-992.0,-364.0,1038.0,-133.0,1150.0,-157.0,-984,-312,-138,773,431,-455,13,-701,-218,679,-774,691,1,42,894,-357,-381,416,718,-42,-557,-30,-23,22,-259,365,-824,122,48
543.361,-192.0,920.0,561.0,-564.0,862.0,-213.0,575.0,853.0,90.0,460,-959,376.0,911.0,-154.0,-992.0,-364.0,1038.0,-167.0,1110.0,-166.0,-959,-290,-111,776,427,-453,5,-703,-216,678,-747,630,-33,-21,891,-363,-374,414,719,-45,-556,-30,-23,22,-252,363,-829,80,49
543.395,-234.0,893.0,451.0,-589.0,863.0,-207.0,643.0,869.0,42.0,520,-960,315.0,916.0,-102.0,-992.0,-364.0,1038.0,-123.0,1116.0,-175.0,-968,-303,-73,782,424,-447,-3,-704,-215,677,-784,743,-122,51,889,-366,-368,415,721,-46,-553,-30,-23,22,-262,356,-817,73,50
543.428,-198.0,918.0,507.0,-545.0,908.0,-193.0,648.0,879.0,5.0,525,-936,376.0,888.0,-83.0,-992.0,-364.0,1038.0,-145.0,1096.0,-24.0,-1055,-201,-187,786,419,-443,-15,-708,-215,673,-719,651,-154,289,885,-368,-362,417,724,-45,-548,-30,-23,22,-275,362,-799,121,51
543.461,-191.0,903.0,504.0,-599.0,828.0,-209.0,550.0,1022.0,52.0,501,-895,374.0,904.0,-98.0,-992.0,-364.0,1038.0,-134.0,1161.0,18.0,-1000,-328,-24,794,416,-431,-26,-709,-218,670,-900,748,-75,327,883,-364,-352,424,723,-40,-544,-30,-23,21,-268,384,-843,100,53
543.495,-99.0,882.0,542.0,-447.0,836.0,-241.0,545.0,790.0,122.0,524,-844,367.0,913.0,-123.0,-992.0,-364.0,1038.0,-27.0,1168.0,15.0,-975,-181,-81,801,411,-423,-37,-712,-218,666,-728,585,5,362,878,-363,-344,431,723,-35,-539,-30,-23,21,-279,369,-876,175,54
543.528,-112.0,905.0,535.0,-605.0,792.0,-249.0,573.0,923.0,131.0,555,-778,369.0,900.0,-126.0,-992.0,-364.0,1038.0,-110.0,1142.0,-22.0,-1016,-222,-129,806,409,-415,-48,-715,-219,663,-816,741,26,221,876,-358,-338,436,722,-29,-536,-31,-23,20,-195,337,-862,208,56
543.561,-137.0,900.0,512.0,-384.0,778.0,-254.0,522.0,905.0,153.0,534,-765,314.0,887.0,-101.0,-992.0,-364.0,1038.0,-178.0,1092.0,85.0,-997,-190,-18,813,406,-407,-61,-715,-221,661,-762,646,18,246,868,-354,-332,442,721,-24,-533,-31,-23,19,-149,334,-852,143,58
543.595,-146.0,890.0,514.0,-693.0,771.0,-276.0,521.0,853.0,139.0,564,-745,308.0,887.0,-120.0,-992.0,-364.0,1038.0,-163.0,1049.0,-67.0,-966,-204,-30,818,404,-399,-75,-713,-224,660,-769,679,55,348,863,-349,-328,454,718,-14,-528,-30,-23,19,-186,349,-855,84,60
543.628,-153.0,884.0,488.0,1928.0,935.0,-315.0,399.0,876.0,141.0,568,-753,299.0,896.0,-131.0,-992.0,-364.0,1038.0,-142.0,1070.0,-30.0,-929,-248,-46,819,402,-397,-87,-711,-228,660,-791,542,75,302,855,-339,-325,464,713,-5,-526,-31,-23,19,-200,371,-861,17,61
543.661,-175.0,874.0,502.0,-625.0,723.0,-253.0,465.0,884.0,90.0,597,-737,239.0,896.0,-110.0,-992.0,-364.0,1038.0,-178.0,1043.0,-39.0,-941,-250,-79,822,400,-395,-96,-710,-231,659,-800,605,24,207,850,-331,-325,470,710,2,-524,-31,-23,19,-231,367,-854,24,61
543.695,-157.0,860.0,506.0,-497.0,786.0,-295.0,461.0,836.0,75.0,657,-728,294.0,905.0,-127.0,-992.0,-364.0,1038.0,-55.0,1105.0,15.0,-904,-250,-148,825,400,-388,-102,-710,-232,657,-754,549,36,150,844,-327,-321,475,707,5,-523,-30,-23,19,-214,343,-832,65,61
543.728,-201.0,819.0,544.0,-620.0,733.0,-285.0,539.0,868.0,50.0,640,-725,275.0,880.0,-186.0,-992.0,-364.0,1038.0,-190.0,1014.0,-20.0,-970,-178,-94,829,397,-386,-112,-710,-234,655,-778,762,-77,72,834,-322,-324,479,706,7,-521,-30,-23,19,-223,347,-830,97,61
543.761,-157.0,848.0,480.0,-450.0,758.0,-331.0,380.0,779.0,152.0,658,-722,212.0,902.0,-289.0,-992.0,-364.0,1038.0,-200.0,999.0,-106.0,-904,-252,-46,833,394,-379,-118,-710,-235,653,-782,527,23,183,825,-321,-323,485,704,8,-519,-30,-23,19,-188,334,-871,44,63
543.795,-248.0,857.0,451.0,-575.0,774.0,-319.0,374.0,936.0,128.0,591,-743,170.0,930.0,-318.0,-992.0,-364.0,1038.0,-162.0,1069.0,24.0,-931,-290,-28,838,388,-375,-121,-710,-235,653,-844,535,106,131,816,-330,-319,487,703,6,-518,-30,-23,19,-191,345,-878,1,64
543.828,-363.0,826.0,449.0,-463.0,724.0,-363.0,452.0,853.0,141.0,618,-703,222.0,913.0,-362.0,-992.0,-364.0,1038.0,-121.0,1078.0,77.0,-976,-171,-18,838,387,-375,-127,-708,-236,654,-772,563,24,196,807,-332,-315,492,702,6,-515,-31,-23,19,-246,373,-850,50,63
543.861,-421.0,879.0,383.0,-469.0,860.0,-338.0,536.0,847.0,145.0,643,-718,256.0,906.0,-322.0,-992.0,-364.0,1038.0,-85.0,1090.0,119.0,-965,-137,-61,840,386,-372,-134,-706,-240,652,-736,651,1,299,800,-333,-311,497,702,8,-510,-30,-23,18,-158,346,-856,13,65
543.895,-436.0,895.0,373.0,-369.0,785.0,-303.0,620.0,806.0,113.0,663,-720,268.0,899.0,-241.0,-992.0,-364.0,1038.0,-29.0,1111.0,125.0,-960,-149,-126,842,386,-366,-142,-706,-242,650,-728,742,-29,296,793,-338,-304,504,702,8,-503,-31,-23,19,-152,352,-860,-52,64
543.928,-391.0,917.0,411.0,-488.0,723.0,-292.0,601.0,849.0,70.0,663,-751,314.0,904.0,-271.0,-992.0,-364.0,1038.0,48.0,1117.0,208.0,-966,-134,-171,844,385,-363,-148,-707,-244,647,-713,709,-73,344,782,-343,-296,510,703,7,-495,-31,-23,18,-156,361,-860,-46,65
543.961,-315.0,882.0,417.0,-485.0,848.0,-342.0,610.0,783.0,67.0,673,-749,291.0,919.0,-260.0,-992.0,-364.0,1038.0,-71.0,1055.0,6.0,-949,-165,-122,847,383,-357,-154,-708,-247,644,-730,701,-65,426,772,-349,-287,516,705,8,-487,-31,-23,19,-201,368,-849,-64,63
543.995,-261.0,923.0,436.0,-513.0,844.0,-404.0,468.0,863.0,103.0,703,-766,209.0,906.0,-312.0,-992.0,-364.0,1038.0,-69.0,1028.0,27.0,-942,-202,-134,853,382,-343,-160,-710,-251,639,-764,559,-4,436,766,-352,-279,518,706,8,-482,-31,-24,19,-282,396,-825,-27,60
544.028,-288.0,865.0,464.0,-551.0,866.0,-382.0,461.0,829.0,109.0,766,-808,320.0,886.0,-372.0,-992.0,-364.0,1038.0,-119.0,1099.0,93.0,-973,-185,-72,856,382,-335,-163,-711,-254,636,-767,552,-2,478,754,-357,-269,519,709,6,-477,-32,-24,18,-214,377,-850,27,63
544.061,-404.0,914.0,440.0,-530.0,905.0,-400.0,524.0,872.0,167.0,792,-819,382.0,893.0,-359.0,-992.0,-364.0,1038.0,-161.0,1139.0,99.0,-1033,-162,-82,860,385,-324,-167,-712,-257,632,-789,672,89,368,747,-362,-258,523,709,9,-473,-32,-24,18,-205,373,-861,60,63
544.095,-377.0,923.0,383.0,-604.0,932.0,-409.0,569.0,888.0,371.0,884,-866,326.0,922.0,-436.0,-992.0,-364.0,1038.0,-195.0,1160.0,158.0,-1050,-194,-49,862,385,-315,-168,-713,-260,630,-771,769,307,358,739,-367,-248,533,708,14,-463,-32,-25,18,-212,410,-814,84,64
544.128,-373.0,1013.0,332.0,-678.0,997.0,-360.0,537.0,1032.0,402.0,895,-894,341.0,889.0,-425.0,-992.0,-364.0,1038.0,-352.0,1260.0,131.0,-1212,-101,86,862,386,-310,-176,-709,-263,630,-885,678,259,150,734,-367,-245,538,705,21,-461,-33,-25,18,-179,440,-783,-219,67
544.161,-413.0,1009.0,340.0,-630.0,1014.0,-353.0,551.0,1046.0,178.0,887,-888,462.0,841.0,-423.0,-992.0,-364.0,1038.0,-191.0,1334.0,-16.0,-1267,-219,82,864,387,-308,-183,-704,-267,632,-987,612,46,310,736,-364,-244,536,704,25,-466,-33,-26,17,-187,461,-757,-341,67
544.195,-416.0,1037.0,328.0,-609.0,1024.0,-344.0,490.0,1191.0,81.0,919,-917,366.0,897.0,-378.0,-992.0,-364.0,1038.0,-176.0,1306.0,-154.0,-1228,-374,-122,865,392,-301,-185,-700,-273,634,-1093,544,112,522,746,-353,-237,533,701,38,-473,-33,-26,18,-185,432,-755,-465,67
544.228,-305.0,1003.0,294.0,-570.0,1029.0,-301.0,374.0,1245.0,145.0,911,-890,388.0,992.0,-327.0,-992.0,-364.0,1038.0,-264.0,1368.0,-52.0,-1219,-428,-111,861,405,-298,-179,-696,-278,638,-1145,504,179,260,763,-328,-244,526,696,50,-486,-32,-25,18,-138,371,-834,-571,64
544.261,-397.0,1021.0,328.0,-584.0,1049.0,-244.0,440.0,1287.0,142.0,883,-874,429.0,982.0,-304.0,-992.0,-364.0,1038.0,-268.0,1414.0,-3.0,-1287,-355,-42,855,418,-299,-173,-690,-283,643,-1175,572,150,94,786,-303,-250,516,694,61,-499,-31,-24,18,-86,326,-892,-141,61
544.295,-348.0,1077.0,426.0,-523.0,943.0,-174.0,534.0,1259.0,128.0,794,-869,420.0,884.0,-323.0,-992.0,-364.0,1038.0,-314.0,1429.0,41.0,-1330,-285,22,842,437,-298,-169,-683,-293,648,-1165,689,47,107,807,-274,-252,504,694,72,-509,-32,-24,18,-206,282,-873,-348,59
544.328,-216.0,1079.0,456.0,-510.0,924.0,-157.0,584.0,1241.0,159.0,704,-790,445.0,824.0,-301.0,-992.0,-364.0,1038.0,-349.0,1421.0,-20.0,-1325,-277,51,832,462,-297,-169,-673,-305,652,-1130,764,17,328,832,-241,-253,495,694,88,-515,-33,-23,19,-416,318,-833,-516,56
544.361,-163.0,1020.0,387.0,-383.0,770.0,-57.0,644.0,1284.0,161.0,633,-838,331.0,913.0,-225.0,-992.0,-364.0,1038.0,-288.0,1420.0,-14.0,-1298,-300,52,823,479,-292,-171,-662,-316,657,-1161,811,176,561,861,-210,-250,504,686,116,-513,-33,-23,19,-327,380,-825,-105,53
544.395,-189.0,1005.0,388.0,-446.0,819.0,34.0,445.0,1266.0,230.0,561,-719,339.0,833.0,-170.0,-992.0,-364.0,1038.0,-338.0,1362.0,-38.0,-1273,-261,-1,809,494,-294,-176,-649,-326,665,-1150,630,307,447,885,-163,-251,523,666,152,-510,-33,-23,19,-192,381,-826,-38,53
544.428,-211.0,962.0,391.0,-465.0,783.0,-33.0,323.0,1224.0,216.0,490,-680,340.0,787.0,-136.0,-992.0,-364.0,1038.0,-385.0,1236.0,-139.0,-1198,-349,-20,792,506,-308,-177,-637,-330,674,-1146,450,289,315,907,-105,-251,541,641,192,-510,-33,-23,19,-222,372,-827,-13,53
544.461,-181.0,910.0,384.0,-375.0,697.0,124.0,205.0,1141.0,173.0,427,-646,329.0,756.0,-76.0,-992.0,-364.0,1038.0,-359.0,1141.0,-143.0,-1098,-393,24,771,515,-324,-174,-625,-331,685,-1099,389,249,258,926,-39,-244,553,616,230,-512,-33,-23,19,-165,347,-840,-21,53
544.495,-85.0,830.0,387.0,-418.0,778.0,-26.0,160.0,1107.0,69.0,349,-621,350.0,808.0,-73.0,-992.0,-364.0,1038.0,-307.0,1102.0,-262.0,-1051,-403,24,751,522,-345,-171,-612,-332,697,-1056,336,177,192,935,17,-237,557,596,262,-517,-33,-23,20,-235,364,-814,-100,50
544.528,9.0,795.0,444.0,-447.0,843.0,11.0,169.0,1121.0,8.0,324,-569,291.0,851.0,-235.0,-992.0,-364.0,1038.0,-344.0,1083.0,-355.0,-987,-460,-40,728,535,-371,-163,-599,-331,711,-1079,309,147,65,940,71,-233,556,579,287,-524,-34,-23,20,-322,401,-795,-130,47
544.561,82.0,796.0,481.0,-446.0,871.0,125.0,213.0,1121.0,-82.0,283,-492,36.0,1229.0,96.0,-992.0,-364.0,1038.0,-335.0,1026.0,-413.0,-945,-601,-117,697,542,-398,-146,-588,-326,726,-1095,324,64,-151,932,121,-238,550,564,305,-534,-33,-23,20,-219,375,-825,-59,47
544.595,-108.0,855.0,512.0,-479.0,834.0,29.0,146.0,970.0,-63.0,221,-429,107.0,1056.0,16.0,-992.0,-364.0,1038.0,-154.0,987.0,-387.0,-784,-566,-134,667,538,-430,-118,-583,-308,742,-948,296,33,-415,921,166,-252,542,553,315,-548,-34,-23,20,-208,353,-836,-85,46
544.628,-337.0,963.0,724.0,-411.0,948.0,-42.0,210.0,897.0,-109.0,135,-351,199.0,830.0,-146.0,-992.0,-364.0,1038.0,-185.0,835.0,-351.0,-744,-477,-161,633,529,-467,-96,-579,-292,755,-867,298,17,-772,901,206,-279,530,546,313,-567,-34,-23,21,-275,367,-821,-249,45
544.661,-496.0,857.0,472.0,-482.0,794.0,138.0,100.0,758.0,-156.0,29,-261,200.0,913.0,-191.0,-992.0,-364.0,1038.0,-209.0,737.0,-320.0,-608,-524,-213,605,511,-501,-67,-577,-269,768,-786,239,0,-1223,876,233,-325,513,544,297,-594,-34,-23,21,-295,372,-814,-192,44
544.695,-215.0,736.0,236.0,-384.0,1000.0,148.0,238.0,699.0,-200.0,11,-261,194.0,953.0,14.0,-992.0,-364.0,1038.0,-102.0,694.0,-252.0,-568,-425,-267,584,476,-536,-27,-582,-231,779,-730,262,-104,-1529,853,241,-383,488,548,268,-624,-34,-23,21,-301,376,-823,-176,42
544.728,-289.0,912.0,170.0,-298.0,860.0,-49.0,197.0,660.0,-151.0,7,-260,396.0,933.0,48.0,-992.0,-364.0,1038.0,12.0,732.0,-216.0,-566,-295,-283,568,414,-581,16,-589,-183,787,-657,203,-107,-1789,819,240,-461,457,553,228,-658,-34,-23,21,-308,381,-838,-257,42
544.761,-297.0,1014.0,90.0,-816.0,1138.0,13.0,389.0,652.0,-185.0,66,-242,487.0,872.0,44.0,-992.0,-364.0,1038.0,109.0,780.0,-41.0,-629,-150,-286,556,344,-617,59,-595,-131,790,-634,351,-192,-1816,780,217,-544,421,561,183,-689,-34,-23,22,-302,379,-822,-195,41
544.795,59.0,1173.0,195.0,-183.0,781.0,77.0,385.0,576.0,-75.0,69,-235,208.0,951.0,-80.0,-992.0,-364.0,1038.0,59.0,793.0,10.0,-665,0,-252,547,266,-644,96,-600,-85,790,-568,354,-211,-1885,734,177,-632,383,566,136,-717,-34,-23,22,-282,379,-797,-167,38
544.828,241.0,1221.0,171.0,-292.0,1067.0,105.0,517.0,590.0,31.0,18,-206,55.0,992.0,-86.0,-992.0,-364.0,1038.0,-10.0,871.0,137.0,-682,29,-191,542,201,-662,131,-603,-43,786,-556,500,-118,-1729,694,141,-704,350,569,92,-739,-34,-23,22,-282,379,-798,-167,38
544.861,-177.0,1035.0,187.0,-272.0,908.0,21.0,547.0,670.0,223.0,30,-222,257.0,989.0,32.0,-992.0,-364.0,1038.0,-33.0,990.0,164.0,-805,89,-177,543,139,-671,159,-608,0,778,-586,541,-8,-1606,656,114,-761,319,567,55,-757,-34,-23,22,-312,381,-794,-97,38
544.895,-529.0,936.0,128.0,-304.0,890.0,-36.0,358.0,746.0,218.0,-13,-134,301.0,910.0,65.0,-992.0,-364.0,1038.0,-100.0,951.0,284.0,-929,86,-136,553,73,-666,185,-614,44,766,-679,347,-101,-1416,623,77,-813,272,570,18,-775,-34,-23,23,-313,383,-789,-83,36
544.928,-242.0,1076.0,68.0,-214.0,923.0,-96.0,472.0,748.0,66.0,-12,-177,193.0,936.0,115.0,-992.0,-364.0,1038.0,-262.0,879.0,132.0,-878,189,116,567,12,-651,205,-616,81,756,-653,641,-313,-665,599,20,-856,227,583,-22,-780,-34,-23,23,-288,387,-799,-137,35
544.961,-35.0,1069.0,44.0,-236.0,1024.0,62.0,681.0,832.0,61.0,98,-221,207.0,947.0,213.0,-992.0,-364.0,1038.0,-171.0,991.0,124.0,-884,29,207,586,-30,-629,221,-618,107,747,-729,901,-201,124,602,-31,-883,210,597,-41,-773,-34,-23,23,-330,389,-787,-73,34
544.995,-162.0,992.0,72.0,-140.0,995.0,-44.0,427.0,925.0,205.0,131,-213,220.0,945.0,161.0,-992.0,-364.0,1038.0,-244.0,1065.0,-29.0,-980,16,71,603,-50,-611,225,-626,115,738,-815,683,96,550,623,-54,-897,212,608,-47,-764,-34,-23,23,-327,384,-789,-80,34
545.028,-116.0,1045.0,166.0,-167.0,1028.0,-89.0,273.0,1025.0,441.0,55,-115,240.0,950.0,135.0,-992.0,-364.0,1038.0,-184.0,1239.0,180.0,-1005,-150,-73,611,-62,-599,235,-636,127,724,-885,493,433,286,634,-81,-914,212,612,-57,-760,-34,-23,23,-327,388,-790,15,34
